"Original Name","Normalized Name"
"Kotyamedu",
"Kovalam",
"Kovilamcherry Village",
"Koyambedu P.S",
"Koyambedu Rohini Theater",
"Koyambedu School",
"Koymabedu Market",
"Krishna Karanai",
"Krishnan Temple/Pondy Baz",
"Krishnapuram",
"Kumaran Kundram",
"Kumaran Nagar",
"Kummanur",
"Kumunanchavadi",
"Kundrathur B.S","Kundrathur Bus Stand"
"Kundrathur Murugan Temple",
"Kunnavakkam",
"Kuppammal Chathiram",
"Kuthanoor Road Jn.",
"Lady Mctm School/Millers",
"Lattice Bridge",
"Lattice Bridge Rd. Jn.",
"Lucas Tvs",
"Luz",
"Madambakkam",
"Madambakkam Koil",
"Madanakuppam",
"Madananadapuram",
"Madarapakkam Bus Terminus",
"Madarapakkam Cross Road",
"Madhavaram",
"Madhavaram Junction",
"Madhavaram Milk Colony",
"Madhavaram Post Box",
"Madhavaram Village",
"Madipakkam B.S","Madipakkam Bus Stand"
"Madipakkam Koot Road",
"Madipakkam Rd. Jn.","Madipakkam Road Junction"
"Madurapakkam",
"Madurapakkam Rd.Jn.","Madurapakkam Road Junction"
"Maduravoyal",
"Magaral Kandigai",
"Mahakavi Bharathi Nagar",
"Mahalakshmi Nagar",
"Mahalingapuram",
"Maharani",
"Mahendra City(Chetty Punn",
"Malai Pattu",
"Malligai Nagar Ave",
"Malrosapuram",
"Mamallapuram",
"Mambakkam",
"Mambakkam Rdjn./Venkatama",
"Mambakkam Roce Mill",
"Mambakkam Temple",
"Manalai Seekadu",
"Manali",
"Manali New Town",
"Manali Rd Jn.",
"Manamathi",
"Manamathi Jn.",
"Manamathi Koot Rd",
"Manamathi School",
"Manapakkam P.U.O",
"Manapakkam Village",
"Manavalan Nagar",
"Manchankaranai",
"Mandaveli",
"Mangadu",
"Manimangalam",
"Manimangalam Rd. Jn.",
"Manimangalam Village",
"Manivakkam",
"Mannivakkam Road Jn.",
"Mannur Village",
"Maraimalai Nagar",
"Maraimalai Nagar I.E.",
"Maternity Hospital",
"Mathur",
"Mathur M.M.D.A.",
"Mathur Rd. Jn.,",
"Mathur Village",
"Medavakkam",
"Medavakkam Colony",
"Medavakkam Jn.",
"Medhur",
"Melapedu",
"Mel Ayanambakkam",
"Melkalvoy",
"Melkondaiyur",
"Melkottiyur",
"Melmallikaipattu",
"Melnallathur",
"Melpakkam",
"Menamabakkam Old Airport",
"Menambedu",
"Meppadu Hospital",
"Meppedu",
"Meppedu Koot Rd",
"Meppur",
"Mettukandigai",
"Mettupalayam",
"Meyyur",
"M.G.R.Nagar",
"Millers Road",
"Minjur",
"Minjur B.D.O",
"Minjur New Terminus",
"Minjur R.S",
"M.K.B.Nagar",
"M.K.B.Nagar East",
"M.M.C",
"M.M.D.A.Colony",
"M.M.D.A.Colony Rd.Jn.",
"Mogaipair Road Jn.",
"Mogalivakkam",
"Mogalivakkam / Mari Ammn",
"Mogalivakkam Rd. Jn.",
"Mogapair",
"Mogapair East",
"Mogapair Off.Col",
"Mogapair Road Jn",
"Mogapair West",
"Moolakadai",
"Moolakarai",
"Mootakaran Chavadi",
"Moovarasanpet",
"Morai",
"Mosque",
"Moulivakkam",
"Mudhukur Cross Road",
"Mudichur",
"Mudichur Village",
"Mullai Nagar",
"Murugan Koil / Girugambak",
"Murukkancheri",
"Muthamil Nagar",
"Muthapudupet",
"Muthumariamman Koil",
"Muttukkadu",
